"上がる","あがる","agaru","to rise"
"挨拶","あいさつ","aisatsu","to greet"
"案内","あんない","annai","to guide"
"安心","あんしん","anshin","peace of mind"
"アルバイト","","arubaito","part-time job"
"集まる","あつまる","atsumaru","to gather; to collect; to assemble"
"集める","あつめる","atsumeru","to collect; to assemble; to gather"
"謝る","あやまる","ayamaru","to apologize"
"貿易","ぼうえき","boueki","trade"
"チェック","","chekku","to check"
"注意","ちゅうい","chuui","caution"
"注射","ちゅうしゃ","chuusha","injection"
"暖房","だんぼう","danbou","heating"
"遠慮","えんりょ","enryo","reserve; refraining"
"選ぶ","えらぶ","erabu","to choose"
"ファックス","","fakkusu","fax"
"増える","ふえる","fueru","to increase"
"復習","ふくしゅう","fukushuu","review (of learned material); revision"
"踏む","ふむ","fumu","to step on"
"降り出す","ふりだす","furidasu","to start to rain"
"太る","ふとる","futoru","to become fat"
"原因","げんいん","genin","cause"
"下宿","げしゅく","geshuku","lodging"
"ごちそう","","gochisou","a feast"
"ご覧になる","ごらんになる","goran ni naru","(respectful) to see"
"拝見","はいけん","haiken","seeing; looking at​"
"運ぶ","はこぶ","hakobu","to carry"
"花見","はなみ","hanami","cherry blossom viewing; flower viewing"
"反対","はんたい","hantai","opposition"
"払う","はらう","harau","to pay"
"発音","はつおん","hatsuon","pronunciation"
"返事","へんじ","henji","reply; answer; response"
"冷える","ひえる","hieru","to grow cold"
"光る","ひかる","hikaru","to shine"
"引き出す","ひきだす","hikidasu","to withdraw"
"引っ越す","ひっこす","hikkosu","to move house"
"開く","ひらく","hiraku","to open; to undo; to unseal; to unpack"
"拾う","ひろう","hirou","to pick up"
"褒める","ほめる","homeru","to praise"
"翻訳","ほんやく","honyaku","translation"
"放送","ほうそう","housou","to broadcast"
"いじめる","","ijimeru","to tease"
"意見","いけん","iken","opinion; view; comment"
"生きる","いきる","ikiru","to live"
"祈る","いのる","inoru","to pray"
"急ぐ","いそぐ","isogu","to hurry; to rush; to hasten; to make something happen sooner"
"頂く","いただく","itadaku","(humble) to receive"
"致す","いたす","itasu","(humble) to do"
"準備","じゅんび","junbi","to prepare"
"変える","かえる","kaeru","to change; to transform"
"会議","かいぎ","kaigi","meeting; conference; session; assembly"
"会話","かいわ","kaiwa","conversation"
"構う","かまう","kamau","to mind"
"噛む","かむ","kamu","to bite,to chew"
"考える","かんがえる","kangaeru","to think"
"関係","かんけい","kankei","relationship"
"片付ける","かたづける","katadzukeru","to tidy up"
"勝つ","かつ","katsu","to win"
"乾く","かわく","kawaku","to get dry"
"変わる","かわる","kawaru","to change"
"通う","かよう","kayou","to commute"
"飾る","かざる","kazaru","to decorate"
"怪我","けが","kega","to injure"
"計画","けいかく","keikaku","to plan"
"経験","けいけん","keiken","to experience"
"見物","けんぶつ","kenbutsu","sightseeing; visit"
"喧嘩","けんか","kenka","to quarrel"
"研究","けんきゅう","kenkyuu","research"
"聞こえる","きこえる","kikoeru","to be heard; to be audible; to be said"
"決まる","きまる","kimaru","to be decided"
"決める","きめる","kimeru","to decide"
"込む","こむ","komu","to be crowded"
"故障","こしょう","koshou","to break-down"
"講義","こうぎ","kougi","lecture"
"壊れる","こわれる","kowareru","to be broken"
"壊す","こわす","kowasu","to break"
"下さる","くださる","kudasaru","(respectful) to give"
"比べる","くらべる","kuraberu","to compare"
"暮れる","くれる","kureru","to get dark"
"教育","きょういく","kyouiku","education"
"競争","きょうそう","kyousou","competition"
"急行","きゅうこう","kyuukou","hurrying (to somewhere); rushing; hastening"
"間違える","まちがえる","machigaeru","to make a mistake (in)"
"参る","まいる","mairu","(humble) to go; to come"
"負ける","まける","makeru","to lose"
"間に合う","まにあう","maniau","to be in time (for)"
"回る","まわる","mawaru","to go around"
"召し上がる","めしあがる","meshiagaru","to eat; to drink​"
"見える","みえる","mieru","to be seen; to be in sight; to look; to seem"
"見つかる","みつかる","mitsukaru","to be found; to be discovered"
"見つける","みつける","mitsukeru","to discover; to find; to come across; to detect; to spot"
"戻る","もどる","modoru","to turn back"
"申し上げる","もうしあげる","moushiageru","to say; to offer"
"申す","もうす","mousu","to be called; to say"
"迎える","むかえる","mukaeru","to go out to meet"
"向かう","むかう","mukau","to head towards"
"無理","むり","muri","impossible"
"投げる","なげる","nageru","to throw or cast away"
"泣く","なく","naku","to weep"
"無くなる","なくなる","naku naru","to disappear; to get lost"
