危ない,あぶない,abunai,niebezpieczny
赤い,あかい,akai,"czerwony, karmazynowy, szkarłatny​"
明るい,あかるい,akarui,jasny
甘い,あまい,amai,"słodki, o słodkim smaku, cukrowy, naiwny, pobłażliwy"
青い,あおい,aoi,"niebieski, lazurowy"
新しい,あたらしい,atarashii,"nowy, świeży, niedawny, najnowszy"
暖かい,あたたかい,atatakai,ciepły
厚い,あつい,atsui,gruby
暑い,あつい,atsui,"gorący, duszny"
熱い,あつい,atsui,gorący
便利,べんり,benri,"przydatny, poręczny, użyteczny"
小さい,ちいさい,chiisai,"mały, drobny, niewielki"
近い,ちかい,chikai,"blisko, podobny"
大丈夫,だいじょうぶ,daijoubu,"ok, okej, w porządku, bez problemu"
大好き,だいすき,daisuki,"kochać, lubić, bardzo lubić"
古い,ふるい,furui,stary (używane do przedmiotów)
太い,ふとい,futoi,"gruby, duży"
元気,げんき,genki,"żywotny, pełny sił, energiczny, zdrowy"
早い,はやい,hayai,"szybki, wczesny"
速い,はやい,hayai,"szybki, prędki, pospieszny, wczesny"
下手,へた,heta,"niezdolny, słaby​"
低い,ひくい,hikui,"niski, cichy"
暇,ひま,hima,czas wolny
広い,ひろい,hiroi,"przestronny, rozległy, szeroki"
本当,ほんとう,hontou,"prawda, rzeczywistość, fakt"
欲しい,ほしい,hoshii,chcieć
細い,ほそい,hosoi,"wąski, szczupły"
色々,いろいろ,iroiro,różny
忙しい,いそがしい,isogashii,zajęty
痛い,いたい,itai,bolesny​
嫌,いや,iya,nieprzyjemny
丈夫,じょうぶ,joubu,"silny, wytrzymały"
上手,じょうず,jouzu,"umiejętny, wprawiony, biegły, dobry (w)"
辛い,からい,karai,pikantny
軽い,かるい,karui,lekki
可愛い,かわいい,kawaii,słodki
結構,けっこう,kekkou,"doskonały, wystarczający"
黄色い,きいろい,kiiroi,żółty
嫌い,きらい,kirai,znienawidzony
綺麗,きれい,kirei,"ładny, śliczny"
汚い,きたない,kitanai,brudny
暗い,くらい,kurai,"ciemny, mroczny, ponury"
黒い,くろい,kuroi,czarny
丸い,まるい,marui,"kulisty, okrągły"
真っ直ぐ,まっすぐ,massugu,"prosty (kierunek), szczery"
不味い,まずい,mazui,nieprzyjemny
短い,みじかい,mijikai,krótki
難しい,むずかしい,muzukashii,trudny
長い,ながい,nagai,"długi (odległość, czas)​, długotrwały"
賑やか,にぎやか,nigiyaka,tętniący życiem
温い,ぬるい,nurui,letni (temperatura)
美味しい,おいしい,oishii,piszny
重い,おもい,omoi,ciężki
面白い,おもしろい,omoshiroi,interesujący
多い,おおい,ooi,"dużo, wiele, częsty"
大きい,おおきい,ookii,"duży, wielki, olbrzymi, ważny"
遅い,おそい,osoi,"wolny, czasochłonny, późny"
立派,りっぱ,rippa,znakomity
寒い,さむい,samui,zimny (pogoda)
狭い,せまい,semai,wąski
白い,しろい,shiroi,biały
静か,しずか,shizuka,cichy
好き,すき,suki,lubić
少ない,すくない,sukunai,"mało, niewystarczająco"
涼しい,すずしい,suzushii,"zimny (pogoda), orzeźwiający (pogoda)"
多分,たぶん,tabun,"być może, prawdopodobnie"
大変,たいへん,taihen,"bardzo, ogromnie, strasznie, ciężko (sytuacja),"
大切,たいせつ,taisetsu,"ważny, drogi"
高い,たかい,takai,"wysoki, drogi, powyżej średniej"
沢山,たくさん,takusan,wiele
楽しい,たのしい,tanoshii,"zabawny, wesoły"
遠い,とおい,tooi,daleki
詰まらない,つまらない,tsumaranai,nudny
冷たい,つめたい,tsumetai,"zimny (człowiek/rzecz), chłodny (człowiek/rzecz), nieczuły (człowiek/rzecz)"
強い,つよい,tsuyoi,potężny
煩い,うるさい,urusai,"głośny, wkurzający"
薄い,うすい,usui,"cieńki, słaby"
若い,わかい,wakai,"młody (człowiek), mała (liczba)"
悪い,わるい,warui,"słaby, niepożądany"
易しい,やさしい,yasashii,"łatwy, prosty"
安い,やすい,yasui,"tani, niedrogi"
良い,よい/いい,yoi/ii,dobry
弱い,よわい,yowai,słaby
有名,ゆうめい,yuumei,sławny
