危ない,あぶない,abunai,dangerous
赤い,あかい,akai,"red, crimson, scarlet​"
明るい,あかるい,akarui,"bright, light"
甘い,あまい,amai,"sweet, sweet-tasting, sugary, naive, indulgent"
青い,あおい,aoi,"blue, azure"
新しい,あたらしい,atarashii,"new, novel, fresh, recent, latest"
暖かい,あたたかい,atatakai,warm
厚い,あつい,atsui,thick
暑い,あつい,atsui,"hot, sultry"
熱い,あつい,atsui,hot
便利,べんり,benri,"convenient, handy, useful"
小さい,ちいさい,chiisai,"small, little, tiny"
近い,ちかい,chikai,"near, close"
大丈夫,だいじょうぶ,daijoubu,"OK, okay, alright, problem free"
大好き,だいすき,daisuki,"love, like, like very much"
古い,ふるい,furui,old (not used for people)
太い,ふとい,futoi,"fat, thick"
元気,げんき,genki,"lively, full of spirit, energetic, healthy"
早い,はやい,hayai,"fast, early"
速い,はやい,hayai,"fast, quick, hasty, brisk"
下手,へた,heta,"unskillful, poor, awkward​"
低い,ひくい,hikui,"short,low"
暇,ひま,hima,free time
広い,ひろい,hiroi,"spacious, vast, wide"
本当,ほんとう,hontou,"truth, reality, actuality, fact"
欲しい,ほしい,hoshii,want
細い,ほそい,hosoi,"thin, slender"
色々,いろいろ,iroiro,various
忙しい,いそがしい,isogashii,busy
痛い,いたい,itai,"painful, sore​"
嫌,いや,iya,unpleasant
丈夫,じょうぶ,joubu,"strong, durable"
上手,じょうず,jouzu,"skillful, skilled, proficient, good (at)"
辛い,からい,karai,spicy
軽い,かるい,karui,light
可愛い,かわいい,kawaii,cute
結構,けっこう,kekkou,"splendid, enough"
黄色い,きいろい,kiiroi,yellow
嫌い,きらい,kirai,hate
綺麗,きれい,kirei,"pretty, lovely, beautiful"
汚い,きたない,kitanai,dirty
暗い,くらい,kurai,"dark, gloomy, murky"
黒い,くろい,kuroi,black
丸い,まるい,marui,"round,circular"
真っ直ぐ,まっすぐ,massugu,"straight ahead,direct"
不味い,まずい,mazui,unpleasant
短い,みじかい,mijikai,short
難しい,むずかしい,muzukashii,difficult
長い,ながい,nagai,"long (distance)​, long (time), lengthy."
賑やか,にぎやか,nigiyaka,"bustling,busy"
温い,ぬるい,nurui,luke warm
美味しい,おいしい,oishii,delicious
重い,おもい,omoi,heavy
面白い,おもしろい,omoshiroi,interesting
多い,おおい,ooi,"many, numerous, a lot, large quantity, frequent"
大きい,おおきい,ookii,"big, large, great, important"
遅い,おそい,osoi,"slow, time-consuming, late"
立派,りっぱ,rippa,splendid
寒い,さむい,samui,cold
狭い,せまい,semai,narrow
白い,しろい,shiroi,white
静か,しずか,shizuka,quiet
好き,すき,suki,like
少ない,すくない,sukunai,"few, a little, scarce, insufficient, seldom"
涼しい,すずしい,suzushii,"refreshing, cool"
多分,たぶん,tabun,"perhaps, probably"
大変,たいへん,taihen,"very, greatly, terribly, serious, difficult"
大切,たいせつ,taisetsu,"important, necessary, indispensable, beloved"
高い,たかい,takai,"high, tall, expensive, above average"
沢山,たくさん,takusan,many
楽しい,たのしい,tanoshii,"enjoyable, fun"
遠い,とおい,tooi,far
詰まらない,つまらない,tsumaranai,boring
冷たい,つめたい,tsumetai,cold to the touch
強い,つよい,tsuyoi,powerful
煩い,うるさい,urusai,"noisy, annoying"
薄い,うすい,usui,"thin, weak"
若い,わかい,wakai,young
悪い,わるい,warui,"bad, poor, undesirable"
易しい,やさしい,yasashii,"easy, simple"
安い,やすい,yasui,"cheap, inexpensive"
良い,よい/いい,yoi/ii,good
弱い,よわい,yowai,weak
有名,ゆうめい,yuumei,famous
