"浴びる","あびる","abiru","to bathe, to shower"
"上げる","あげる","ageru","to raise; to elevate"
"開ける","あける","akeru","to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock"
"開く","あく","aku","to open (e.g. doors, business, etc)"
"洗う","あらう","arau","to wash"
"ある","","aru","to be, to have"
"歩く","あるく","aruku","to walk"
"遊ぶ","あそぶ","asobu","to play; to enjoy oneself"
"会う","あう","au","to meet; to encounter; to see"
"勉強","べんきょう","benkyou","to study"
"違う","ちがう","chigau","to differ"
"出す","だす","dasu","to take out; to get out; to put out; to reveal"
"出かける","でかける","dekakeru","to go out; to leave; to depart"
"電話","でんわ","denwa","telephone (call / device)l; phone call"
"出る","でる","deru","to leave; to exit; to appear; to go out"
"吹く","ふく","fuku","to blow (of the wind)"
"降る","ふる","furu","to fall"
"入る","はいる","hairu","to enter; to go into"
"始まる","はじまる","hajimaru","to begin"
"履く","はく","haku","to wear, to put on trousers"
"話す","はなす","hanasu","to speak; to talk; to converse"
"晴れる","はれる","hareru","to be sunny"
"貼る","はる","haru","to stick; to paste"
"走る","はしる","hashiru","to run"
"働く","はたらく","hataraku","to work"
"引く","ひく","hiku","to pull"
"弾く","ひく","hiku","to play"
"行く","いく","iku","to go; to move"
"入れる","いれる","ireru","to put in; to let in; to take in; to bring in; to insert; to install"
"居る","いる","iru","to be, to have"
"要る","いる","iru","to be needed"
"言う","いう","iu","to say; to call"
"授業","じゅぎょう","jugyou","lesson; class work"
"帰る","かえる","kaeru","to go back​"
"返す","かえす","kaesu","to return something"
"掛かる","かかる","kakaru","to take (a resource, e.g. time or money)"
"掛ける","かける","kakeru","to hang up; to make (a call)​;"
"書く","かく","kaku","to write; to compose; to pen; to draw"
"借りる","かりる","kariru","to borrow"
"貸す","かす","kasu","to lend; to loan"
"買う","かう","kau","to buy; to purchase"
"結婚","けっこん","kekkon","marriage"
"消す","けす","kesu","to erase, to turn off power"
"消える","きえる","kieru","to disappear"
"聞く","きく","kiku","to hear; to listen (to music); to ask; to learn of"
"切る","きる","kiru","to cut"
"着る","きる","kiru","to wear"
"困る","こまる","komaru","to be troubled"
"コピー","","kopii","copy; photocopy"
"答える","こたえる","kotaeru","to answer"
"曇る","くもる","kumoru","to become cloudy, to become dim"
"来る","くる","kuru","to come"
"曲がる","まがる","magaru","to turn, to bend"
"待つ","まつ","matsu","to wait​"
"磨く","みがく","migaku","to polish; to shine; to brush (e.g. teeth)"
"見る","みる","miru","to see; to look; to watch; to view; to observe"
"見せる","みせる","miseru","to show; to display"
"持つ","もつ","motsu","to hold"
"鳴く","なく","naku","animal noise. to chirp"
"無くす","なくす","nakusu","to lose (something)"
"並べる","ならべる","naraberu","to line up,to set up"
"並ぶ","ならぶ","narabu","to line up,to stand in a line"
"習う","ならう","narau","to be taught; to learn (from a teacher)"
"寝る","ねる","neru","to sleep; to go to bed; to lie down"
"登る","のぼる","noboru","to climb"
"飲む","のむ","nomu","to drink"
"乗る","のる","noru","to get on (train, plane, bus, ship, etc.)"
"脱ぐ","ぬぐ","nugu","to take off clothes"
"覚える","おぼえる","oboeru","to remember"
"起きる","おきる","okiru","to get up; to wake up"
"置く","おく","oku","to put; to place​"
"降りる","おりる","oriru","to get off"
"教える","おしえる","oshieru","to teach"
"押す","おす","osu","to push; to press​"
"終る","おわる","owaru","to finish; to end"
"泳ぐ","およぐ","oyogu","to swim"
"練習","れんしゅう","renshuu","practice; practicing"
"旅行","りょこう","ryokou","travel; trip; journey; excursion; tour"
"料理","りょうり","ryouri","cuisine"
"咲く","さく","saku","to bloom"
"散歩","さんぽ","sanpo","walk; stroll"
"差す","さす","sasu","to stretch out hands, to raise an umbrella"
"洗濯","せんたく","sentaku","washing; laundry"
"仕事","しごと","shigoto","work; job; business"
"閉まる","しまる","shimaru","to close, to be closed"
"締める","しめる","shimeru","to tie; to fasten; to tighten​"
"閉める","しめる","shimeru","to close; to shut"
"死ぬ","しぬ","shinu","to die"
"知る","しる","shiru","to know"
"質問","しつもん","shitsumon","question; inquiry"
"掃除","そうじ","souji","to clean, to sweep"
"住む","すむ","sumu","to live in; to reside; to inhabit; to dwell; to abide"
"吸う","すう","suu","to smoke, to suck"
"座る","すわる","suwaru","to sit"
"食べる","たべる","taberu","to eat"
"頼む","たのむ","tanomu","to ask"
"立つ","たつ","tatsu","to stand; to stand up​"
"テスト","","tesuto","examination; quiz; test"
"飛ぶ","とぶ","tobu","to fly; to hop"
"止まる","とまる","tomaru","to stop; to come to a halt"
